# Grob interfaces declared by C++ ADD_INTERFACE macros in LilyPond v2.27.2
# (commit 2d621459bd44cb1758f822a69757242eab843060), extracted from lily/*.cc.
#
# Upstream registers these from static initialisers before any Scheme runs; the
# port registers them from this table at CreateInterpreter, for the same reason
# and at the same point in the sequence. The interfaces declared in Scheme by
# ly:add-interface (scm/define-grob-interfaces.scm) are a SEPARATE set and load
# afterwards, exactly as upstream -- where the two overlap, Scheme wins, because
# it runs later and ly:add-interface overwrites.
#
# The interface symbol is derived the way lily/grob-interface.cc add_interface
# derives it: camel_case_to_lisp_identifier of the C++ class name, then
# "-interface" appended unless it is already the suffix.
#
# Columns: interface-symbol  cxx-class  upstream-file  properties  description
# Properties are space-separated (upstream parse_symbol_list); description
# newlines are written as \n escapes so every record is one line.
#
# THIS FILE IS DERIVED FROM GPL-3 SOURCE. See THIRD-PARTY-NOTICES.txt.
accidental-interface	Accidental_interface	accidental.cc	alteration alteration-glyph-name-alist avoid-slur glyph-name forced hide-tied-accidental-after-break restore-first tie	A single accidental.
accidental-placement-interface	Accidental_placement	accidental-placement.cc	accidental-grobs direction padding positioning-done right-padding script-priority	Resolve accidental collisions.
align-interface	Align_interface	align-interface.cc	align-dir axes elements minimum-translations-alist padding positioning-done stacking-dir	Order grobs from top to bottom, left to right, right to left or bottom to top.\nFor vertical alignments of staves, the @code{line-break-system-details} of the\nleft @rinternals{NonMusicalPaperColumn} may be set to tune vertical spacing.
arpeggio-interface	Arpeggio	arpeggio.cc	arpeggio-direction dash-definition line-thickness positions protrusion script-priority stems thickness	Functions and settings for drawing an arpeggio symbol.
axis-group-interface	Axis_group_interface	axis-group-interface.cc	adjacent-pure-heights axes bound-alignment-interfaces default-staff-staff-spacing elements nonstaff-nonstaff-spacing nonstaff-relatedstaff-spacing nonstaff-unrelatedstaff-spacing pure-relevant-grobs pure-relevant-items pure-relevant-spanners pure-Y-common staff-affinity staff-grouper staff-staff-spacing system-Y-offset X-common Y-common	An object that groups other layout objects.
balloon-interface	Balloon_interface	balloon.cc	annotation-balloon annotation-line padding spanner-placement text text-alignment-X text-alignment-Y thickness X-attachment Y-attachment	A collection of routines to put text balloons around an object.
beam-interface	Beam	beam.cc	accidental-padding annotation auto-knee-gap beamed-stem-shorten beaming beam-segments beam-thickness break-overshoot clip-edges concaveness collision-interfaces collision-voice-only covered-grobs damping details direction gap gap-count grow-direction inspect-quants knee length-fraction least-squares-dy minimum-length neutral-direction normal-stems positions quantized-positions shorten skip-quanting stems X-positions	A beam.\n\nThe @code{beam-thickness} property is the weight of beams, measured in\nstaffspace.  The @code{direction} property is not user-serviceable.  Use the\n@code{direction} property of @code{Stem} instead.\n\nThe following properties may be set in the @code{details} list.\n\n@table @code\n@item beam-eps\nEpsilon for beam quant code to check for presence in gap.\n@item collision-padding\nPadding value to avoid vertical collision with other objects.\n@item collision-penalty\nDemerit penalty for @code{collision-padding}.\n@item damping-direction-penalty\nDemerit penalty applied when beam direction is different from damping\ndirection.\n@item hint-direction-penalty\nDemerit penalty applied when beam direction is different from damping\ndirection, but damping slope is <= @code{round-to-zero-slope}.\n@item ideal-slope-factor\nDemerit scaling factor for difference between beam slope and damping slope.\n@item musical-direction-factor\nDemerit scaling factor for difference between beam slope and music slope.\n@item region-size\nSize of region for checking quant scores.\n@item round-to-zero-slope\nDamping slope which is considered zero for purposes of calculating direction\npenalties.\n@item secondary-beam-demerit\nDemerit used in quanting calculations for multiple beams.\n@item stem-collision-factor\nDemerit factor used for colliding stems.\n@item stem-length-demerit-factor\nDemerit factor used for inappropriate stem lengths.\n@item stem-length-limit-penalty\nPenalty for differences in stem lengths on a beam.\n@end table
break-alignable-interface	Break_alignable_interface	break-alignment-interface.cc	break-align-symbols non-break-align-symbols	Object that is aligned on a break alignment.
break-aligned-interface	Break_aligned_interface	break-alignment-interface.cc	break-align-anchor break-align-anchor-alignment break-align-symbol space-alist	Breakable items.
break-alignment-interface	Break_alignment_interface	break-alignment-interface.cc	positioning-done break-align-orders	The object that performs break alignment.\n\nThree interfaces deal specifically with break alignment:\n@enumerate\n@item break-alignment-interface (this one),\n@item @iref{break-alignable-interface}, and\n@item @iref{break-aligned-interface}.\n@end enumerate\n\nEach of these interfaces supports grob properties that use\n@emph{break-align symbols}, which are Scheme symbols to\nspecify the alignment, ordering, and spacing of certain notational elements\n(@q{breakable} items).\n\nThe break-align symbols used by the various grobs are listed in\n@rnotation{Grobs and their break-align symbols}.
breathing-sign-interface	Breathing_sign	breathing-sign.cc	direction thickness	A breathing sign.
