# CodeBrix.LilyPort — the upstream lily/*.cc ledger.
#
# One row per file in upstream lily/ (LilyPond 2.27.2, the pinned reference), so the
# remaining engine work is COMPUTED rather than remembered. EPG0 built it; every later
# EPG session updates the rows it lands.
#
# Columns:
#   1 file          the upstream lily/<file>.cc
#   2 disposition   ported | group | no-port
#   3 detail        ported  -> the C# file(s) carrying it, ';'-separated, repo-relative
#                   group   -> the EPG group that owes it
#                   no-port -> why it has no analogue in the port
#   4 notes         free text; blank for the ordinary cases
#
# Fences (LedgerTests): every upstream file has exactly one row, every 'ported' target
# exists on disk, every 'group' names a real EPG group, and the row set equals the
# upstream file set exactly.
#
# A 'ported' row means the file's TYPE and ALGORITHMS are carried. It does NOT assert
# that the file's LY_DEFINE surface is complete -- the bindings rule (standing rule 3)
# owes that in the same session, and entry-point closure is measured separately against
# Scheme/entry-points.tsv.
#
# Totals: 448 files = 419 ported + 0 grouped + 29 no-port -- CLOSED by EPG23 on
# 2026-08-12; gate G3 is green at 737/737 entry points implemented-or-N/A. (Historic:
# EPG0 opened at 88/331/29;
# EPG1 left 90/329/29; EPG2 and EPG3's first slice moved twenty rows on 2026-08-05;
# EPG3's finish moved five more the same day: paper-outputter(+scheme),
# function-documentation, lily-version, general-scheme. EPG4 moved twelve. EPG13 moved
# nine on 2026-08-05: text-interface, transform(+scheme), stencil-expression,
# stencil-integral, and the four font *-scheme files. Wave A moved SIXTY-FOUR on
# 2026-08-07 in one parallel session: EPG5's nineteen, EPG6's four, EPG7's ten,
# EPG8's nineteen and EPG9's twelve. EPG22 moved SIXTEEN on 2026-08-07: its own
# fifteen -- which empties the group -- plus dispatcher-scheme.cc, pulled forward from
# EPG23 because \addQuote needs ly:add-listener. break-substitution.cc stays EPG15's:
# EPG22 landed only its Direction half, and the row's note says so.)
#
# EPG19 moved THIRTY on 2026-08-08 -- its whole group, with NO pull-forward of any other
# group's FILES: the five audio-*, the four midi-*, midi-cc-announcer, performance(+scheme),
# performer(+group), score-performer, staff-performer and the fourteen concrete performers.
# One LEAF came forward from music-scheme.cc (ly:transpose-key-alist); that file's
# disposition is unchanged and its note says so.
#
# Read this file through PortLedger rather than counting by eye -- these totals are a
# convenience, and LedgerTests computes the real ones.
#
file	disposition	detail	notes
acceptance-set.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/ContextDef.cs	
accidental-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/AccidentalEngraver.cs	
accidental-placement.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/AccidentalPlacement.cs	
accidental.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/AccidentalInterface.cs	
align-interface.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/AlignInterface.cs	align_elements_to_ideal_distances takes the minimum distances until EPG16 lands Page_layout_problem; the pure branch of get_skylines is REAL as of EPG15's close-out (2026-08-08) — request_suicide, pure_y_extent and the begin/rest-of-line split, where it used to answer the ordinary extent and so demanded a stencil
all-font-metrics-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/FontPrimitives.cs	EPG13 (2026-08-05): ly:reset-all-fonts is in Bootstrap/GrobCallbacks.cs; ly:system-font-load filed as a D25 candidate (font-plumbing) — D23 forbids system fonts
all-font-metrics.cc	ported	src/CodeBrix.LilyPort.Engine/Fonts/AllFontMetrics.cs	
alternative-sequence-iterator.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/RepeatIterators.cs	EPG17 (2026-08-07): with volta-repeat and volta-specced, which hold each other up
ambitus-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/AmbitusEngraver.cs	
apply-context-iterator.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/ContextIterators.cs	
arpeggio-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/ArpeggioEngravers.cs	
arpeggio.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/Arpeggio.cs	holds Arpeggio, Chord_bracket and Chord_slur, as upstream's one file does
articulations.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/Articulations.cs	
audio-column.cc	ported	src/CodeBrix.LilyPort.Engine/Audio/AudioColumn.cs	
audio-element-info.cc	ported	src/CodeBrix.LilyPort.Engine/Audio/AudioElement.cs	
audio-element.cc	ported	src/CodeBrix.LilyPort.Engine/Audio/AudioElement.cs	
audio-item.cc	ported	src/CodeBrix.LilyPort.Engine/Audio/AudioItem.cs	
audio-staff.cc	ported	src/CodeBrix.LilyPort.Engine/Audio/AudioStaff.cs	
auto-beam-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/AutoBeamEngraver.cs	
axis-group-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/FirstEngravers.cs	
axis-group-interface-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/VerticalLayoutCallbacks.cs	
axis-group-interface.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/AxisGroupInterface.cs	
balloon-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/AnnotationEngravers.cs	
balloon.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/BalloonInterface.cs	
bar-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/BarEngravers.cs	
bar-number-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/BarEngravers.cs	
beam-collision-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/BeamCollisionEngraver.cs	the contexts_ set and derived_mark are dropped; the managed collector keeps the Contexts alive
beam-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/BeamEngravers.cs	Beam_engraver and Grace_beam_engraver
beam-performer.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/MelismaPerformers.cs	one of the 14 concrete performers
beam-quanting.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/BeamQuanting.cs	SCORER - translated literally; the configuration queue replicates libstdc++ push_heap/pop_heap so equal-demerit ties break as upstream breaks them
beam.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/Beam.cs	print's extreme index is clamped (upstream indexes a vsize with a signed beam rank); the bound walk's null guard is GONE at EPG15's close-out (2026-08-08) — Spanner::do_break_processing is what guarantees the bounds and it is ported
beaming-pattern.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/BeamingPattern.cs	beam counts stay unsigned so beamify's beamlet chipping wraps as upstream wraps
bezier-bow.cc	ported	src/CodeBrix.LilyPort.Engine/Layout/BezierBow.cs	WHOLE, not half: EPG17 believed it owed Bezier_bow, but no such class exists in the pinned 2.27.2 - there is no bezier-bow.hh and no reference anywhere, so the file is only slur_shape and its three helpers, all of which landed with EPG17
bezier-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/LyricCallbacks.cs	pulled forward from EPG23 by EPG18 under the bindings rule (Flower's Bezier was already ported)
bezier.cc	ported	src/CodeBrix.LilyPort.Flower/Bezier.cs	
book-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/PageBreakingCallbacks.cs	ly:book-process and ly:book-process-to-systems landed with EPG16 (2026-08-08); the other 9 bindings stay in OutputPrimitives.cs. Both run Book::process and FORCE the pages; upstream then calls Paper_book::output/classic_output, which is NOT ported (see the paper-book.cc row)
book.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/Book.cs	
box.cc	ported	src/CodeBrix.LilyPort.Engine/Layout/Box.cs	
bracket.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/Bracket.cs	PULLED FORWARD FROM EPG14 by EPG17 (2026-08-07): both EPG17 bracket grobs draw through make_bracket; declares no Scheme callbacks
break-align-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/BreakAlignEngraver.cs	
break-alignment-interface.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/BreakAlignInterface.cs	NAMING: BreakAlignInterface, because the file declares Break_alignment_interface, Break_aligned_interface and Break_alignable_interface and the port carries all three together
break-substitution.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/BreakSubstitution.cs	EPG22 pulled the DIRECTION half forward for handle_prebroken_dependencies; EPG15 (2026-08-08) landed the System half — the substitution driver and fast_substitute_grob_array
breathing-sign.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/BreathingSign.cs	
caesura-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/CaesuraEngraver.cs	make_script_from_event is EPG14 (script-interface.cc); CaesuraScript grobs are created but left unconfigured, with a loud programming error per script
cairo.cc	no-port	D15 — SVG is the parity yardstick; no Cairo backend	
calculated-sequential-music.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/SequentialIterator.cs	
change-iterator.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/ContextIterators.cs	
chord-name.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/ChordName.cs	
chord-tremolo-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/BeamEngravers.cs	
clef-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/FirstEngravers.cs	
clef-modifier.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/ClefModifier.cs	
clef.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/Clef.cs	
cluster-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/ClusterEngraver.cs	
cluster.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/Cluster.cs	holds Cluster and Cluster_beacon, as upstream's one file does
coherent-ligature-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/CoherentLigatureEngraver.cs	EPG21 (2026-08-09): abstract; collect_accidentals is a bare TODO upstream and stays one here
collision-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/ColumnEngravers.cs	
column-x-positions.cc	ported	src/CodeBrix.LilyPort.Engine/Layout/SimpleSpacer.cs	
completion-note-heads-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/CompletionEngravers.cs	EPG5 carried Tie::set_head and Tie_column::add_tie through Objects/Epg5Seams.cs; EPG11 landed both in their own files and EPG14 DELETED that seam file
completion-rest-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/CompletionEngravers.cs	
concurrent-hairpin-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/DynamicEngravers.cs	
constrained-breaking.cc	ported	src/CodeBrix.LilyPort.Engine/Layout/ConstrainedBreaking.cs	the Line_details half is Layout/LineDetails.cs
context-def.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/ContextDef.cs	
context-handle.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/ContextHandle.cs	
context-mod-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/TranslationPrimitives.cs	pulled forward from EPG2 by the EPG1 demand loop: all four bindings landed 2026-08-04. ly:make-context-mod being a stub is what made every \omit, \stemUp, \cadenzaOn, \englishChords and \grobdescriptions inside a \context block report "not a context mod"
context-mod.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/ContextMod.cs	
context-property.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/GrobProperties.cs	
context-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/TranslationPrimitives.cs	
context-specced-music-iterator.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/ContextIterators.cs	
context.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/Context.cs	
control-track-performer.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/ControlPerformers.cs	one of the 14 concrete performers
cue-clef-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/CueClefEngraver.cs	
deprecated-property.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/DeprecatedProperty.cs	
diagnostics.cc	ported	src/CodeBrix.LilyPort.Engine/Origins/IDiagnostics.cs	
dimensions-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/GeneralPrimitives.cs	
directional-element-interface.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/DirectionalElementInterface.cs	
dispatcher-scheme.cc	ported	src/CodeBrix.LilyPort.Engine/Bootstrap/DispatcherPrimitives.cs	pulled forward from EPG23 by EPG22 -- \addQuote cannot run without ly:add-listener
dispatcher.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/Dispatcher.cs	
dot-column-engraver.cc	ported	src/CodeBrix.LilyPort.Engine/Translation/DotEngravers.cs	
dot-column.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/DotColumn.cs	EPG5 carried the Stem/side-position/pure-position reads through Objects/Epg5Seams.cs; Wave A and EPG22 re-pointed them at the canonical classes and EPG14 DELETED that seam file. The header's compare and side_position declarations are dead upstream and not carried
dot-configuration.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/DotConfiguration.cs	
dot-formatting-problem.cc	ported	src/CodeBrix.LilyPort.Engine/Objects/DotConfiguration.cs	
