# CodeBrix.LilyPort -- font-build delta ledger (ruling R19).
#
# Every page here renders DIFFERENTLY under the port's own Emmentaler build
# than under the one LilyPond ships.  Same engine, same input, same
# everything else -- so each number is the cost of building our own fonts,
# and nothing else.  Pages absent from this file are byte-identical.
#
# The numbers are EXACT, not sampled: the font build is byte-reproducible and
# the engine is deterministic.  So any change to any of them is a signal and
# has to be explained, even a change that makes a number SMALLER.
#
# verdict  MOVED     marks are in different places; dx/dy are the largest
#                    single-mark displacement in the paper's staff-spaces,
#                    and mm is that converted through this page's own scale.
#          STRUCTURE the page has a different NUMBER of marks.  Only the
#                    -ddebug-skylines pages do this, because they draw the
#                    skylines themselves; `moved'/`total' hold the two counts.
#          ABSENT    the page is missing from the other render entirely.
#          SAME-FONTS both font builds render it identically; it is here
#                    only because the GATE does not certify it.
#
# gate     what the LilyPond-font run graded against the oracle corpus.  A
#          page the gate says MATCH is vouched for by an ORACLE and needs no
#          drift record, so its sha256 column is `-'.  Every other page
#          carries the hash of OUR OWN rendering, which is what the retired
#          baseline/svg used to hold as eight whole files.
#
# file	verdict	moved	total	max_dx_ss	max_dy_ss	max_mm	gate	sha256
accidental-ancient.svg	MOVED	2	65	0.0120	0.0000	0.021088	MATCH	-
alignment-order.svg	MOVED	3	85	0.0000	0.0085	0.014937	MATCH	-
alternative-end-segno.svg	MOVED	3	80	0.0000	0.0026	0.004569	MATCH	-
alternative-end.svg	MOVED	1	57	0.0000	0.0025	0.004393	MATCH	-
alternative-middle-segno.svg	MOVED	1	63	0.0000	0.0025	0.004393	MATCH	-
alternative-middle.svg	MOVED	1	66	0.0000	0.0025	0.004393	MATCH	-
alternative-mmrest.svg	MOVED	1	34	0.0000	0.0025	0.004393	MATCH	-
alternative-nest-end-end-segno1.svg	MOVED	1	60	0.0000	0.0026	0.004569	MATCH	-
alternative-nest-end-end-segno2.svg	MOVED	1	68	0.0000	0.0026	0.004569	MATCH	-
alternative-nest-end-end.svg	MOVED	1	88	0.0000	0.0025	0.004393	MATCH	-
alternative-reuse.svg	MOVED	3	94	0.0000	0.0025	0.004393	MATCH	-
alternative-start-segno.svg	MOVED	1	54	0.0000	0.0025	0.004393	MATCH	-
alternative-start.svg	MOVED	1	57	0.0000	0.0025	0.004393	MATCH	-
alternative-trailing-var.svg	MOVED	1	36	0.0000	0.0025	0.004393	MATCH	-
alternative-var-sequential.svg	MOVED	2	52	0.0000	0.0025	0.004393	MATCH	-
annotate-volta-spanner-end.svg	MOVED	2	67	0.0000	0.0026	0.004569	MATCH	-
auto-beam-without-bar-lines.svg	MOVED	1	56	0.0000	0.0025	0.004393	MATCH	-
autobeam-3-4-rules-shortened-measure.svg	MOVED	1	157	0.0000	0.0025	0.004393	MATCH	-
bar-check-after-cadenza-warn.svg	MOVED	3	142	0.0000	0.0025	0.004393	MATCH	-
bar-check-parallel-alternative-ok.svg	MOVED	1	53	0.0000	0.0025	0.004393	MATCH	-
bar-check-submeasure-alternative-warn.svg	MOVED	2	54	0.0000	0.0025	0.004393	MATCH	-
bar-line-allow-volta-hook.svg	MOVED	1	27	0.0000	0.0025	0.004393	MATCH	-
bar-line-fine-volta-hook.svg	MOVED	1	28	0.0000	0.0025	0.004393	MATCH	-
bar-line-submeasure-bar-type.svg	MOVED	2	266	0.0000	0.0049	0.008611	MATCH	-
bar-line-submeasure-bars-off.svg	MOVED	90	93	0.0000	0.0100	0.017573	MATCH	-
bar-number-after-alternative-restore-cadenza.svg	MOVED	3	98	0.0000	0.0025	0.004393	MATCH	-
bar-number-after-alternative-restore-grace.svg	MOVED	3	101	0.0000	0.0025	0.004393	MATCH	-
bar-number-alternative-number.svg	MOVED	4	63	0.0000	0.0025	0.004393	MATCH	-
bar-number-alternative-style.svg	MOVED	6	249	0.0000	0.0025	0.004393	MATCH	-
bar-number-break-alignment-list.svg	MOVED	44	47	0.0000	0.0050	0.008786	MATCH	-
bar-number-volta-repeat-end.svg	MOVED	1	33	0.0000	0.0025	0.004393	MATCH	-
bar-number-volta-repeat.svg	MOVED	4	292	0.0000	0.0025	0.004393	MATCH	-
caesura-alignment-multiple.svg	MOVED	2	36	0.0000	0.0002	0.000351	MATCH	-
caesura-script-multiple.svg	MOVED	25	29	0.0000	0.0014	0.002460	MATCH	-
